Run,label
SRR8656551,1
SRR8656552,1
SRR8656553,0
SRR8656554,1
SRR8656555,1
SRR8656556,0
SRR8656557,0
SRR8656558,0
SRR8656559,0
SRR8656560,1
SRR8656561,1
SRR8656562,1
SRR8656563,1
SRR8656564,1
SRR8656565,1
SRR8656566,1
SRR8656567,1
SRR8656568,1
SRR8656569,0
SRR8656570,0
SRR8656571,1
SRR8656572,1
SRR8656573,1
SRR8656574,1
SRR8656575,1
SRR8656576,0
SRR8656577,1
SRR8656579,0
SRR8656580,0
SRR8656581,0
SRR8656582,0
SRR8656583,0
SRR8656584,1
SRR8656585,1
SRR8656588,1
SRR8656589,1
SRR8656590,1
SRR8656591,1
SRR8656592,1
SRR8656593,1
SRR8656594,1
SRR8656595,0
SRR8656596,0
SRR8656597,0
SRR8656598,1
SRR8656599,1
SRR8656600,0
SRR8656601,0
SRR8656602,1
SRR8656603,1
SRR8656604,1
SRR8656605,1
SRR8656606,1
SRR8656607,1
SRR8656608,1
SRR8656609,1
SRR8656610,0
SRR8656611,0
SRR8656612,1
SRR8656613,1
SRR8656614,1
SRR8656615,0
SRR8656616,0
SRR8656617,0
SRR8656618,0
SRR8656620,1
SRR8656621,0
SRR8656622,0
SRR8656623,0
SRR8656624,0
SRR8656625,0
SRR8656626,0
SRR8656627,1
SRR8656628,1
SRR8656629,0
SRR8656630,0
SRR8656631,0
SRR8656632,0
SRR8656633,0
SRR8656634,1
SRR8656635,1
SRR8656636,0
SRR8656637,0
SRR8656638,1
SRR8656639,1
SRR8656640,1
SRR8656641,1
SRR8656642,0
SRR8656643,0
SRR8656644,0
SRR8656645,0
SRR8656646,1
SRR8656647,1
SRR8656648,1
SRR8656649,1
SRR8656650,0
SRR8656651,0
SRR8656652,0
SRR8656653,1
SRR8656654,0
SRR8656655,0
SRR8656656,0
SRR8656657,0
SRR8656658,1
SRR8656659,0
SRR8656660,0
SRR8656661,1
SRR8656662,0
SRR8656663,0
SRR8656664,1
SRR8656665,0
SRR8656667,0
SRR8656668,0
SRR8656669,1
SRR8656670,0
SRR8656672,0
SRR8656673,1
SRR8656674,0
SRR8656675,0
SRR8656676,1
SRR8656677,0
SRR8656678,0
SRR8656679,1
SRR8656680,1
SRR8656681,1
SRR8656682,1
SRR8656683,1
SRR8656684,0
SRR8656685,0
SRR8656686,0
SRR8656687,0
SRR8656688,0
SRR8656689,0
SRR8656690,0
SRR8656691,0
SRR8656692,0
SRR8656693,0
SRR8656694,0
SRR8656695,0
SRR8656696,1
SRR8656697,0
SRR8656698,0
SRR8656699,0
SRR8656700,0
SRR8656701,0
SRR8656702,0
SRR8656703,0
SRR8656704,0
SRR8656705,0
SRR8656706,1
SRR8656707,0
SRR8656708,0
SRR8656709,0
SRR8656710,0
SRR8656711,0
SRR8656712,1
SRR8656713,1
SRR8656714,1
SRR8656715,0
SRR8656716,0
SRR8656717,0
SRR8656718,1
SRR8656719,1
SRR8656720,0
SRR8656721,1
SRR8656722,1
SRR8656723,1
SRR8656724,0
SRR8656725,0
SRR8656726,1
SRR8656727,0
SRR8656728,1
SRR8656729,1
SRR8656730,1
SRR8656731,1
SRR8656732,1
SRR8656733,0
SRR8656734,0
SRR8656735,0
SRR8656736,0
SRR8656737,0
SRR8656738,0
SRR8656739,0
SRR8656740,0
SRR8656741,0
SRR8656742,1
SRR8656745,1
SRR8656746,1
SRR8656748,1
SRR8656749,1
SRR8656752,1
SRR8656753,1
SRR8656754,0
SRR8656755,0
SRR8656756,0
SRR8656757,1
SRR8656758,1
SRR8656759,1
SRR8656760,0
SRR8656761,0
SRR8656762,0
SRR8656763,0
SRR8656764,0
SRR8656765,0
SRR8656766,0
SRR8656767,0
SRR8656769,0
SRR8656770,0
SRR8656771,0
SRR8656772,0
SRR8656773,0
SRR8656774,0
SRR8656775,0
SRR8656776,1
SRR8656777,0
SRR8656778,0
SRR8656779,0
SRR8656780,0
SRR8656781,0
SRR8656782,0
SRR8656783,0
SRR8656784,0
SRR8656785,1
SRR8656786,0
SRR8656787,0
SRR8656788,0
SRR8656789,0
SRR8656790,0
SRR8656791,0
SRR8656792,0
SRR8656793,1
SRR8656794,0
SRR8656795,0
SRR8656796,0
SRR8656797,0
SRR8656798,0
SRR8656799,0
SRR8656800,0
SRR8656801,0
SRR8656802,0
SRR8656803,1
SRR8656804,1
SRR8656805,1
SRR8656806,1
SRR8656807,1
SRR8656808,1
SRR8656809,0
SRR8656810,1
SRR8656811,0
SRR8656812,0
SRR8656813,0
SRR8656814,0
SRR8656815,0
SRR8656816,1
SRR8656817,0
SRR8656818,0
SRR8656819,0
SRR8656820,0
SRR8656821,0
SRR8656822,0
SRR8656823,1
SRR8656824,0
SRR8656825,0
SRR8656826,0
SRR8656827,1
SRR8656828,1
SRR8656829,0
SRR8656830,1
SRR8656831,0
SRR8656832,1
SRR8656833,0
SRR8656834,0
SRR8656835,0
SRR8656837,0
SRR8656840,1
SRR8656841,1
SRR8656842,0
SRR8656843,0
SRR8656844,0
SRR8656845,0
SRR8656846,0
SRR8656847,0
SRR8656848,0
SRR8656849,0
SRR8656850,0
SRR8656851,0
SRR8656852,0
SRR8656853,0
SRR8656854,0
SRR8656855,0
SRR8656856,0
SRR8656857,0
SRR8656858,0
SRR8656859,0
SRR8656860,1
SRR8656861,1
SRR8656862,1
SRR8656863,1
SRR8656864,1
SRR8656865,1
SRR8656866,1
SRR8656867,1
SRR8656868,1
SRR8656869,1
SRR8656870,1
SRR8656871,1
SRR8656872,1
SRR8656873,0
SRR8656874,0
SRR8656875,1
SRR8656876,1
SRR8656877,0
SRR8656878,0
SRR8656879,1
SRR8656880,0
SRR8656881,0
SRR8656882,0
SRR8656883,0
SRR8656884,0
SRR8656885,0
SRR8656886,0
SRR8656887,0
SRR8656888,0
SRR8656889,0
SRR8656890,0
SRR8656891,0
SRR8656892,0
SRR8656893,0
SRR8656894,0
SRR8656895,0
SRR8656896,0
SRR8656897,0
SRR8656898,0
SRR8656899,1
SRR8656900,1
SRR8656901,1
SRR8656902,1
SRR8656903,0
SRR8656904,0
SRR8656905,0
SRR8656906,0
SRR8656907,0
SRR8656908,0
SRR8656909,0
SRR8656910,0
SRR8656911,0
SRR8656912,0
SRR8656913,0
SRR8656914,0
SRR8656915,0
SRR8656916,0
SRR8656917,1
SRR8656918,1
SRR8656919,1
