Run,label
SRR8656561,1
SRR8656563,1
SRR8656566,1
SRR8656567,1
SRR8656572,1
SRR8656575,1
SRR8656585,1
SRR8656591,1
SRR8656593,1
SRR8656604,1
SRR8656606,1
SRR8656613,1
SRR8656635,1
SRR8656640,1
SRR8656641,1
SRR8656646,1
SRR8656673,1
SRR8656679,1
SRR8656683,1
SRR8656692,0
SRR8656706,1
SRR8656712,1
SRR8656746,1
SRR8656773,0
SRR8656776,1
SRR8656785,1
SRR8656793,1
SRR8656805,1
SRR8656806,1
SRR8656809,0
SRR8656860,1
SRR8656863,1
SRR8656871,1
SRR8656876,1
SRR8656901,1
SRR8656902,1
SRR8656910,0
SRR8656917,1
